ANO,UFCOD,IDADE,SEXO,POPULACAO
2001,15,A3434,M,43528
2001,15,A3535,M,42102
2001,15,A3636,M,40743
2001,15,A3737,M,39464
2001,15,A3838,M,38253
2001,15,A3939,M,36760
2001,15,A4040,M,35742
2001,15,A4141,M,34793
2001,15,A4242,M,33806
2001,15,A4343,M,32688
2001,15,A4444,M,31407
2001,15,A4545,M,30013
2001,15,A4646,M,28607
2001,15,A4747,M,27258
2001,15,A4848,M,25934
2001,15,A4949,M,24654
2001,15,A5050,M,23418
2001,15,A5151,M,22191
2001,15,A5252,M,21016
2001,15,A5353,M,19922
2001,15,A5454,M,18962
2001,15,A5555,M,18119
2001,15,A5656,M,17339
2001,15,A5757,M,16585
2001,15,A5858,M,15863
2001,15,A5959,M,15148
2001,15,A6060,M,14426
2001,15,A6161,M,13720
2001,15,A6262,M,13032
2001,15,A6363,M,12330
2001,15,A6464,M,11622
2001,15,A6565,M,10910
2001,15,A6666,M,10222
2001,15,A6767,M,9560
2001,15,A6868,M,8934
2001,15,A6969,M,8328
2001,15,A7070,M,7753
2001,15,A7171,M,7204
2001,15,A7272,M,6676
2001,15,A7373,M,6179
2001,15,A7474,M,5690
2001,15,A7575,M,5226
2001,15,A7676,M,4786
2001,15,A7777,M,4382
2001,15,A7878,M,4004
2001,15,A7979,M,3672
2001,15,A8080,M,3321
2001,15,A8181,M,3005
2001,15,A8282,M,2706
2001,15,A8383,M,2421
2001,15,A8484,M,2150
2001,15,A8585,M,1895
2001,15,A8686,M,1653
2001,15,A8787,M,1428
2001,15,A8888,M,1219
2001,15,A8989,M,1028
2001,15,A9090,M,4047
2001,15,A0000,F,83229
2001,15,A0101,F,83714
2001,15,A0202,F,83770
2001,15,A0303,F,83661
2001,15,A0404,F,83440
2001,15,A0505,F,83156
2001,15,A0606,F,82738
2001,15,A0707,F,82179
2001,15,A0808,F,81498
2001,15,A0909,F,80568
2001,15,A1010,F,79539
2001,15,A1111,F,78724
2001,15,A1212,F,78266
2001,15,A1313,F,78054
2001,15,A1414,F,77858
2001,15,A1515,F,77440
2001,15,A1616,F,76718
2001,15,A1717,F,75584
2001,15,A1818,F,74092
2001,15,A1919,F,72543
2001,15,A2020,F,70938
2001,15,A2121,F,68976
2001,15,A2222,F,66605
2001,15,A2323,F,63930
2001,15,A2424,F,61111
2001,15,A2525,F,58367
2001,15,A2626,F,55857
2001,15,A2727,F,53715
2001,15,A2828,F,51858
2001,15,A2929,F,50094
2001,15,A3030,F,48336
2001,15,A3131,F,46690
2001,15,A3232,F,45194
2001,15,A3333,F,43772
2001,15,A3434,F,42436
2001,15,A3535,F,41120
2001,15,A3636,F,39810
2001,15,A3737,F,38479
2001,15,A3838,F,37146
2001,15,A3939,F,35790
2001,15,A4040,F,34541
2001,15,A4141,F,33328
2001,15,A4242,F,32119
2001,15,A4343,F,30894
2001,15,A4444,F,29636
2001,15,A4545,F,28360
2001,15,A4646,F,27114
2001,15,A4747,F,25890
2001,15,A4848,F,24642
2001,15,A4949,F,23378
2001,15,A5050,F,22106
2001,15,A5151,F,20836
2001,15,A5252,F,19628
2001,15,A5353,F,18554
2001,15,A5454,F,17644
2001,15,A5555,F,16874
2001,15,A5656,F,16172
2001,15,A5757,F,15488
2001,15,A5858,F,14836
2001,15,A5959,F,14202
2001,15,A6060,F,13580
2001,15,A6161,F,12990
2001,15,A6262,F,12420
2001,15,A6363,F,11838
2001,15,A6464,F,11220
2001,15,A6565,F,10586
2001,15,A6666,F,9963
2001,15,A6767,F,9370
2001,15,A6868,F,8810
2001,15,A6969,F,8281
2001,15,A7070,F,7791
2001,15,A7171,F,7320
2001,15,A7272,F,6873
2001,15,A7373,F,6430
2001,15,A7474,F,6000
2001,15,A7575,F,5582
2001,15,A7676,F,5188
2001,15,A7777,F,4825
